"Area Lead","Team","Org.Name","Active","IMS No.","Gaps","SAP Vendor No","Entity Type","Email","Address1","Add2","Add3","Add4","Add5","Postcode","CEO Title","CEO Name","Regulated?","Viability Score","Gov. Score","ID no.","Status","notes"
"Heather Juman / Inez Hough ","South","Ash-Shahada","Yes","C3843",,,,"info@ash-shahada.org ","43/45 Coldharbour Lane",,"Camberwell","London",,"SE5 9NR","Mr","Raj Khalid","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","ASRA Housing Association Limited","Yes","L3534",,18000028,,"matt.cooney@asra.org.uk","3 Bede Island Road","Leicester",,,,"LE2 7EA","Mr","Matt Cooney","Y","#N/A","#N/A",,,
"Peter Fletcher","Richard Cawser ","Barnet Homes","Yes","NP1459",,,"Wholly owned by Borough","meera.bedi@barnethomes.org ","Barnet House","1255 High Road",,"london",,"N20 0EJ","Ms","Meera Bedi (Interim Development Director)","N","#N/A","#N/A",,,
"Geraldine Hart ","North East","Barnsbury Housing Association Limited","Yes","L2518",,,,"susan@barnsbury.org ","303B Upper Street ","Islington","London",,,"N1 2TU","Ms","Susan French","Y","#N/A","#N/A",,,
"Nick Taylor","North West","Barratt","Yes","NP0017",,18000077,,"mark.clare@barratthomes.co.uk ","1st Floor, Kent House","14-17 Market Place",,,"London","W1W 8AJ","Mr","Mark Clare","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Bedfont Stoney Wall Housing Co-operative Limited","No","C3993",,,,"homes@coophomes.coop","8 Waldegrave Road",,,,"Teddington","TW11 8GT","Mr","Brian Rose","Y","#N/A","#N/A",,,"Managing agent co-op homes "
"Jonathan Goldstraw ","South","Bellway ","Yes","NP0003",,18000071,,"bellway4good@bellway.co.uk","Seaton Burn House","Dudley Lane, Seaton Burn","Newcastle upon Tyne",,,"NE13 6BE","MR","Ted Ayres","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Berkeley Homes","Yes","NP0021",,18000078,,"alisdair.chant@berkeleygroup.co.uk ","20 Portsmouth Road","Cobham","Surrey",,,"KT11 1JG","Mr","Alisdair Chant","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Bexley Churches","Yes","L0976",,,,"susan.daniels@becha.org.uk ","21 Bourne Road",,"Bexley","Kent ",,"DA5 1LW","Ms","Sue Daniels","Y","#N/A","#N/A",,,
"Peter Fletcher ","North West","Big Issue Investment","No","BISSUE",,,,"ed@bigissueinvest.com ","113-115 Fonthill Road","Finsbury Park","London",,,"N4 3HH","Mr","Ed Siegel","N","#N/A","#N/A",,,
"Richard Cawser","North West","Birnbeck Housing Association Limited","Yes","L1511",,,,"johnsilverman@btconnect.com","Birnbeck Court"," 850 Finchley Road","London",,,"NW11 6BB","Mr","John Silverman","Y","#N/A","#N/A",,,
"#N/A","#N/A","Blue Door Property Guardians","No","NP1457",,,,"admin@bluedoorpropertyguardians.co.uk","27 Old Gloucester Street ","London",,,,"WC1N 3AX","Mrs","Jane Butler","N","#N/A","#N/A",,,"appears to be no longer operational."
"Rickardo Hyatt","South","Bonham and Strathleven Tenants Co-operative Ltd","Yes","C2788",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Janet Trench ","North East","Bouygues Uk","Yes","NP0260",,,,"lionel.christolomme@by-development.ltd.uk","Becket House","1 Lambeth Palace Road","London",,,"SE1 7EU","Mr","Lionel Christolomme","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Bracknell Forest Homes Limited","Yes","L4513",,,,"bfh@bracknellforesthomes.org.uk ","Berkshire Court","Western Road","Bracknell","Berkshire",,"RG12 1RE","Ms","Caroline Titley","Y","V1","G1",,,
"Peter Fletcher","North West","Brent Housing Partnership","Yes","NP0044",,,,"info@bhphousing.co.uk","Brent Civic Centre"," Engineers Way","Wembley","Middlesex",,"HA9 0FJ","Ms","Rowann Limond","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Brighton Bldgs Co-Op","Yes","C3638",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Broomleigh Housing Association Limited","Yes","L3979",,18000123,,"keith.exford@affinitysutton.com ","Level 6 More London Place","Tooley Street","London",,,"SE1 2DA","Mr","Keith Exford","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Carr Gomm","Yes","LH2172",,,,"lucywren@carrgomm.org","11 Harewood Road",,,"Edinburgh",,"EH16 4NT","Ms","Lucy Wren","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Catalyst Housing Group Limited","Yes","L4344",,18000040,,"rod.cahill@chg.org.uk ","26-30 Uxbridge Road","London",,,,"W5 2AU","Mr ","Rod Cahill","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Catalyst Housing Limited","Yes","L0699",,18000119,,"rod.cahill@chg.org.uk ","Ealing Gateway","26–30 Uxbridge Rd","London",,,"W5 2AU","Mr ","Rod Cahill","Y","V1","G1",,,
"Judith Carlson","North West","CBHA","No","L4143",,,,"stephen.howlett@peabody.org.uk ","45 Westminster Bridge Rd",,,,"London","SE1 7JB","Mr","Stephen Howlett","Y","#N/A","#N/A",,,
"Neil Hook","North East","Central And Cecil","Yes","H1528",,,,"enquiries@ccht.org.uk ","Cecil House","266 Waterloo Road",,"London",,"SE1 8RQ","Ms","Julia Ashley","Y","V2","G1",,,
"Janet Trench ","North East","Centrepoint","Yes","H1869",,18000005,,"s.obakin@centrepoint.org","Central House","25 Camperdown Street","London",,,"E1 8DZ","Mr","Seya Obakin","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Charlton Triangle Homes Limited","Yes","L4212"," ",,,"Brendan.Sarsfield@familymosaic.co.uk ","Albion House","20 Queen Elizabeth Street","London ",,,"SE1 2RJ","Mr","Andrew Kimmance","Y","#N/A","#N/A",,,
"Sarah Coutts","North East","Chester & District Housing Trust Limited","Yes","LH4291",,,,"david.bennett@sanctuary-housing.co.uk ","Chamber Court","Castle Street","Worcester",,,"WR1 3ZQ","Mr","David Bennett","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","Chippenham Housing Co-operative Limited","No","C3497",,,,,"27 Chippenham Road",,,,"London","W9 2AH",,,"Y","#N/A","#N/A",,,"Managing agent co-op homes"
"#N/A","#N/A","Christian Alliance (Now Known As Chapter 1 (Charity Ltd)","Yes","H3658",,,,"mail@chapter1.org.uk ","2 exton street",,,,"London","SE1 8UE","mr","joseph Main","Y","V2","G3",,,
"Ray Everingham","North East","Circle Anglia Limited","Yes","LH4046",,18000063,,"mark.rogers@circle.org.uk ","Two Pancras Square","King's Cross",,,"London","N1C 4AG","Mr","Mark Rogers","Y","V1","G3",,,
"Ray Everingham","North East","Circle Thirty Three Housing Trust Limited","Yes","L0031",,,,"mark.rogers@circle.org.uk ","Two Pancras Square","King's Cross",,,"London","N1C 4AG","Mr","Mark Rogers","Y","#N/A","#N/A",,,
"Andrew Williams","North West","City of Westminster Council","Yes","00BK",,,"Borough","cparker@westminster.gov.uk ","City Hall ","64 Victoria Street","Westminster","London",,"SW1E 6QP","Mr","Charlie Parker","Y","#N/A","#N/A",,,
"Andrew Williams","North West","City West Homes (SPV)","Yes","NP0054",,18000082,"Private Developer?","info@cwh.org.uk ","CityWest Homes","21 Grosvenor Place",,"London",,"SW1X 7EA","Mr","Jonathan Cowie","N","#N/A","#N/A",,,
"Neil Hook","North East","City YMCA, London","Yes","H4099",,18000196,"RP?","Gillian.Bowen@cityymca.org ","8 Errol Street",,,"London",,"EC1Y 8SE","Ms","Gillian Bowen","Y","#N/A","#N/A",,,
"Janet Trench","North East","Clapham Park Homes Limited","Yes","L4467",,,,"Brian.Johnson@metropolitan.org.uk","The Grange ","100 High Street ","Southgate","London ",,"N14 6PW","Mr","Brian Johnson","Y","#N/A","#N/A",,,
"Peter Fletcher ","North West","Community Trust Housing","Yes","L4484",,,,"helen.evans@networkhomes.org.uk ","Olympic Office Centre","8 Fulton Road","Middlesex",,,"HA9 0NU","Ms","Helen Evans","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Co-operative Development Society","Yes","LH0170",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Ray Everingham","North East","Countryside Properties UK","Yes","NP0333",,18000131,,"ian.suttcliffe@cpplc.com ","Countryside House","The Drive, Brentwood",,,"Essex","CM13 3AT","Mr","Ian Sutcliffe","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Craymill Housing Co-operative Limited","Yes","C3125",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Crest Nicholson","No","NP0006",,18000072,,"sstone@crestnicholson.com   ","Crest House","Pyrcroft Road","Chertsey",,"Surrey","KT16 9GN","Mr","Stephen Stone","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Cross Lances Housing Co-operative Limited","No","C3335",,,,,"8 Waldegrave Road",,,,"Teddington","TW11 8GT",,,"Y","#N/A","#N/A",,,"Managing agent co-op homes"
"Heather Juman / Inez Hough ","South","Croydon Churches Housing Association Limited","Yes","LH0495",,,,"customers@ccha.biz "," 6th Floor","Norfolk House","Wellesley Road"," Croydon",,"CR0 1LH","Ms","Tracy Cullen","Y","V1","G1",,,
"Rickardo Hyatt","South","Croydon Council","No","NP0252",,,"Borough","jo.negrini@croydon.gov.uk ","Bernard Weatherill House","8 Mint Walk",," Croydon",,"CR0 1EA","Ms","Jo Negrini","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Crystal Palace Housing Association Limited","No","SL3118",,,,"paul.hackett@amicushorizon.org.uk ","Grosvenor House",,"Croydon ",,,"CR0 9XP","Mr","Paul Hackett","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Dawley Housing Co-operative Limited","No","C3890",,,,,"8 Waldegrave Road",,,,"Teddington","TW11 8GT",,,"Y","#N/A","#N/A",,,"Managing agent co-op homes"
"Heather Juman / Inez Hough ","South","Dimensions (UK) Limited","No",4648,,,,"Steve.Scown@dimensions-uk.org ","9-10 Commerce Park","Brunel Road",,"Theale",,"RG7 4AB","Mr","Steve Scown","Y","V1","G1",,,
"Peter Fletcher","North West","Doctor Spurstowe and Bishop Wood Almshouses Charity","Yes",4695,,18000109,,"horder455@yahoo.co.uk ","6 Trull Farm Buildings",,,"Tetbury","Gloucestershire","GL8 8SQ","Mr","David Horder","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Downland Housing Association Limited","No","L3901",,,,"keith.exford@affinitysutton.com ","Level 6 More London Place","Tooley Street","London",,,"SE1 2DA","Mr","Keith Exford","N","#N/A","#N/A",,,
"Janet Trench ","North East","Dr Spurstowe (URB)","Yes","NP0368",,18000109,,"horder455@yahoo.co.uk ","157 High Street","Chipping Ongar","Essex",,,"GL8 8SQ","Mr","David Horder","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Ducane Housing Association Limited","Yes","L0307",,,,"mike.wilkins@ducaneha.org.uk ","11 Du Cane House","101 Du Cane Road",,,"London","W12 0UR","Mr","Mike Wilkins","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Dukelease Properties Ltd","No","NP0125",,,,"richard@dukelease.com ","22 Old Bond Street",,,,"London","W1S 4PY","Mr ","Richard Leslie","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Durkan Estates","Yes","NP0128",,,,"info@durkan.co.uk ","4, Elstree Gate","Elstree Way","Borehamwood ",,," WD6 1JD","Mr","Daniel Durkan","N","#N/A","#N/A",,,
"Janet Trench ","North East","East Homes Limited","Yes","LH2833",,,,"yvonne.arrowsmith@east-thames.co.uk ","29-35 West Ham Lane","Stratford","London",,,"E15 4PH","Ms","Yvonne Arrowsmith","Y","#N/A","#N/A",,,
"Janet Trench ","North East","East Thames Group Limited","Yes","LH4309",,18000066,,"yvonne.arrowsmith@east-thames.co.uk ","29-35 West Ham Lane","Stratford","London",,,"E15 4PH","Ms","Yvonne Arrowsmith","Y","V2","G1",,,
"Heather Juman / Inez Hough ","South","Edward Henry Co-Op","Yes","C2745",,,,,"Flat 23 Edward Henry House","Cornwall Road","London",,,"SE1 8YF",,,"Y","#N/A","#N/A",,,"unknown"
"Rickardo Hyatt","South","Eldon Housing Association Limited","Yes","L3262",,18000121,,"info@eldonhousing.org","Eldon Housing Association Ltd","7 Banstead Road","Purley",,"Surrey","CR8 3EB","Ms","Elizabeth Rangé ","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Elmbridge Housing Trust Limited","Yes","LH4262",,,,"info@eldonhousing.org","Eldon Housing Association Ltd","Case House ","85-89 High Street","Walton-on-Thames","Surrey","KT12 1DZ","Mr","Dilip Kavi","Y","V1","G1",,,
"Marianne Danielewicz","North East","Estuary Housing Association Limited","Yes","L3535",,18000029,,"Paul.Durkin@estuary.co.uk ","8th & 9th Floor, Maitland House","Warrior Square","Southend on Sea","Essex",,"SS1 2JY","Mr","Paul Durkin","Y","V1","G1",,,
"Peter Fletcher","North West","Fairhazel Co-operative Limited","No","C0447",,,,"fairhazel@fairhazelcoop.org.uk ","Basement Office","23 Compayne Gardens",,,"London","NW6 3DE","Ms","Fiachre Pilkington","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Fairview","No","NP0012",,18000074,,"gerald.malton@fairview.co.uk ","50 Lancaster Rd",,"Enfield",,,"EN2 0BY","Mr","Gerald Malton","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Family Mosaic Home Ownership Limited","Yes","L3885",,,,"Brendan.Sarsfield@familymosaic.co.uk ","Albion House","20 Queen Elizabeth Street
","London ",,,"SE1 2RJ","Mr","Brendan Sarsfield","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Family Mosaic Housing","Yes","L4470",,18000042,,"Brendan.Sarsfield@familymosaic.co.uk ","Albion House","20 Queen Elizabeth Street","London ",,,"SE1 2RJ","Mr","Brendan Sarsfield","Y","V1","G1",,,
"Nick Taylor","North West","Field Lane Foundation","No","LH3047",,,,"info@fieldlane.org.uk ","2nd Floor, The Victoria Charity Centre","11 Belgrave Road",,,"London","SW1V 1RB ","Mr","Peter Calderbank","Y","#N/A","#N/A",,,
"Nick Taylor","North West","First Base","Yes","NP0001",,,,"elliot.lipton@firstbase.com ","33 Cavendish Square",,,,"London","W1G 0PW","Mr","Elliot Lipton","N","#N/A","#N/A",,,
"Neil Hook","North East","Forest Young Men's Christian Association of East London","Yes","H3927",,18000166,,"JLaryea@forestymca.org.uk ","642 Forest Road","Walthamstow",,,,"E17 3EF","Mr ","John Francis Delahunty","Y","N/A","N/A",,,
"Peter Fletcher","North West","Fortunegate Community Housing","Yes","L4168",,,,"rod.cahill@chg.org.uk ","26-30 Uxbridge Road","London",,"W5 2AU",,"W5 2AU","Mr ","Rod Cahill","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Friendly Almshouses","Yes","NP0351",,,,"office@friendlyalmshouses.org ","167 Stockwell Park Road",,,,,"SW9 0TL","Ms","Deborah Anne Barker","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Galliford","No","NP0013"," ",,,"stephen.teagle@gallifordtry.co.uk ","Cowley Business Park","Cowley","Uxbridge","Middlesex ",,"UB8 2AL","Mr","Peter Truscott","N","#N/A","#N/A",,,
"Judith Carlson","North West","Gallions Housing Association Limited","No","L4274",,18000038,,"stephen.howlett@peabody.org.uk ","45 Westminster Bridge Rd",,,,,"SE1 7JB","Mr","Stephen Howlett","Y","V1","G3",,,
"Janet Trench ","North East","Gateway Housing Association","Yes","L0517",,,,"Sheron.Carter@gatewayhousing.org.uk ","409-413 Mile End Road","London",,,,"E3 4PB","Ms","Sheron Carter","Y","V1","G1",,,
"Judith Carlson","North West","Genesis Housing Association Limited","Yes",4655,,18000047,,"neil.hadden@genesisha.org.uk ","Atelier House","64 Pratt Street","London",,,"NW1 0DL","Mr","Neil Hadden","Y","V1","G1",,,
"Judith Carlson","North West","Genesis Housing Association Limited","Yes","L4286",,,,"neil.hadden@genesisha.org.uk ","Atelier House","64 Pratt Street","London",,,"NW1 0DL","Mr","Neil Hadden","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","Gentoo Group Ltd","No","GEN2",,,,"steve.hicks@ownageniehome.co.uk ","2 Emperor Way","Doxford International Business Park","Sunderland","Tyne & Wear",,"SR3 3XR","Mr","Steve Hicks","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","Gentoo Group Ltd","No","L4313",,,,"steve.hicks@ownageniehome.co.uk ","2 Emperor Way","Doxford International Business Park","Sunderland","Tyne & Wear",,"SR3 3XR","Mr","Steve Hicks","Y","V2","G2",,,
"Peter Fletcher","North West","George Green's Almshouses","Yes","A3038","Yes",,,,"George Green's House","Ricardo Street",,,,"E14 6EQ","Mr","Alexander Campbell","Y","#N/A","#N/A",,,
"Rob Elvin ","North East","Grainger Trust Ltd","Yes","NP1462",,,,"RLewis@graingerplc.co.uk ","No.1 London Bridge"," 3rd Floor East",,,,"SE1 9BG","Ms","Helen Gordon","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Greenwich Council","Yes","NP0209",,18000088,"Borough","john.comber@royalgreenwich.gov.uk ","3rd Floor East","Wellington Street","Woolwich",,,"SE18 6HQ","Mr","John Comber","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Guildhouse UK Ltd","No","NP0305"," ",,,"enquiries@gldhse.com ","128 Buckingham Palace Road",,,,,"SW1W 9SA","Mr","David Hudson","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","H&F Housing Development limited","No","IMSX2",,,,"kathleen.corbett@lbhf.gov.uk ","London SW1W 9SA","Housing & Regeneration Department","King St",,,"W6 9JU","Ms","Kathleen Corbett","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","Habinteg Housing Association Limited","Yes","LH0459",,18000212,,"pgamble@habinteg.org.uk ","Holyer House","20-21 Red Lion Court","London",,,"EC4A 3EB","Mr","Paul Gamble","Y","V1","G1",,,
"Janet Trench","North East","Hackney Co-Op","Yes","C2744",,,"?","info@hcd.coop ","Unit B1","3 Bradbury Street",,"London",,"N16 8JN","Mr","Dominic Ellison","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Hammersmith United Charities","Yes","A1789"," ",,,"clerk@hamunitedcharities.com","Sycamore Gardens ",,,,,"W6 0AS","Mr ","Mike Smith ","Y","#N/A","#N/A",,,
"Marianne Danielewicz","North East","Hanover Housing Association","Yes","L0071",,18000011,,"Clare.Tickell@hanover.org.uk","1 Bridge Close","Staines","Middlesex",,,"TW18 4TB","Dame","Clare Tickell","Y","V1","G1",,,
"Peter Fletcher","North West","Housing Pathways Trust","Yes","A0376","Yes",,,"enquiries@yourpathways.org.uk","St. James' House","105 - 113 The Broadway","West Ealing",,,"W13 9BE","Mr","Clive Wilson","Y","#N/A","#N/A",,,
"Neil Hook","North East","Haringey London Borough Council","Yes","00AP",,18000146,"Borough","Mustafa.Ibrahim@haringey.gov.uk","River Park House","225 High Road",,,,"N22 8HQ","Mr","Nick Walkley","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Harrison Housing","Yes","A4410",,,,"info@harrisonhousing.org.uk","46 St James’s Gardens",,,,,"W11 4RQ","Mr","Raymond Bernstein","Y","#N/A","#N/A",,,
"TBC","TBC","Hastoe Housing Association Limited","Yes","L0018",,,,"customerservices@hastoe.com ","Marina House","17 Marina Place","Hampton Wick","Kingston upon Thames",,"KT1 4BH","Ms","Sue Chalkley","Y","V2","G1",,,
"Rickardo Hyatt","South","Hexagon Housing Association Limited","Yes","L1538",,18000025,,"TMcCormack@hexagon.org.uk","130-136 Sydenham Rd","London",,,,"SE26 5JY","Mr","Tom McCormack","Y","V1","G1",,,
"Andrew Williams","North West","Home Group Limited","Yes","L3076",,18000027,,"Mark.Henderson@homegroup.org.uk","2 Gosforth Park Way","Gosforth Business Park","Salters Lane, Gosforth","Newcastle upon Tyne",,"NE12 8ET","Mr","Mark Henderson","Y","V1","G1",,,
"Peter Fletcher","North West","Joel Emanuel Almshouse Trust","Yes","A2670","Yes",,,,"Amélie House c/o Jewish Care","Maurice & Vivienne Wohl Campus","221 Golders Green Road",,,"NW11 9DQ",,,"Y","#N/A","#N/A",,,"Not a developing HA"
"Geraldine Hart ","Janet Trench","Hornsey Housing Trust Limited","Yes","L0719",,,,"AlwynL@HornseyHT.co.uk","62 Mayfield Road","London",,,,"N8 9LP","Mr","Alwyn Lewis","Y","#N/A","#N/A",,,
"Neil Hook","North East","Hornsey YMCA ","Yes","IMSX4",,,,"Tim.Fallon@ymcanorthlondon.org.uk","184 Tottenham Lane","Courch End",,,,"N8 8SG","Mr ","Tim Fallon ","N","#N/A","#N/A",,,
"Rickardo Hyatt","South","Kirkdale Housing Co-operative Limited","Yes","C3347","Yes",,,,"21E Perryvale","Forest Hill","London",,,"SE23 2NE",,,"Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","Hour Glass Housing Co-operative Limited","Yes","C3044",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Housing & Care 21","Yes","L0055",,18000117,,"Enquiries@housingandcare21.co.uk","Tricorn House","51–53 Hagley Road","Birmingham",,,"B16 8TP","Mr","Bruce Moore","Y","V1","G1",,,
"Peter Fletcher","North West","Housing For Women","Yes","L0970"," ",,,"info@h4w.co.uk","Sixth Floor","Blue Star House","234-244 Stockwell Road","London",,"SW9 9SP","Ms","Jakki Moxham","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Mulberry Co-Op","Yes","C3635","Yes",,,,"8 Waldegrave Road","Teddington","Middlesex",,,"TW11 8GT",,,"Y","N/A","N/A",,,"Unknown"
"Jonathan Goldstraw ","South","Hyde Housing Association Limited","Yes","LH0032",,18000048,,"elaine.bailey@hyde-housing.co.uk","Hyde Head Office","30 Park Street","London",,,"SE1 9EQ","Ms","Elaine Bailey","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Igloo Regeneration","No","NP0053",,,,"chris.brown@igloo.uk.net","35 Dale Street","Manchester ",,,,"M1 2HF","Mr","Chris Brown","N","#N/A","#N/A",,,
